github_path,provenance_category,canonical_source_path,canonical_source_sha256,github_sha256,hash_match,reason_for_derivation,size_bytes,purpose
.gitignore,AUTHORED_GITHUB_DOCUMENT,,,f30fd8368e600b175e638f0cc0618f7cf87a3f7cd25706ada18c852a7957a50a,N/A (authored),,2496,"Excludes data, archives, environments, credentials"
CITATION.cff,AUTHORED_GITHUB_DOCUMENT,,,23418947905a67157964ff5545f19b07d593af29271bb6411a0b8c39227f185e,N/A (authored),,1922,Citation metadata (no license field while licensing is pending)
GITHUB_REPOSITORY_MANIFEST_v1.csv,AUTHORED_GITHUB_DOCUMENT,,,535f9501b9a6ab8c40b269033ded02a9e8335d7b00276f25ea9be442dcd2413d,N/A (authored),,49859,This manifest (CSV)
GITHUB_REPOSITORY_MANIFEST_v1.md,AUTHORED_GITHUB_DOCUMENT,,,9d211b3c2414566cbac4040e9ff7ec45c781d54785cd030d2608d1f2347beda0,N/A (authored),,5261,This manifest (report)
LICENSE_PENDING.md,AUTHORED_GITHUB_DOCUMENT,,,4e2da7e416eb68fe9f8c155168d66cd08cefba2c3589606481ba7b103bbd41a8,N/A (authored),,2184,Licensing pending confirmation; third-party terms preserved
README.md,AUTHORED_GITHUB_DOCUMENT,,,f735368406e869ac40dfc5d62cecaaf447e70406766018968c27e1a1e2f2e8b4,N/A (authored),,21636,Repository README (all 25 required sections)
dataset_metadata/experiment_b_training_class_statistics_v1_frozen.json,BYTE_IDENTICAL_COPY,CSE498/LTLC_BLACKBOOK_FINAL/02_dataset_metadata/experiment_b_training_class_statistics_v1_frozen.json,556128fb9ce1f22eb049a2531621b3779bec7069f7678210c13c1f162d6aea32,556128fb9ce1f22eb049a2531621b3779bec7069f7678210c13c1f162d6aea32,TRUE,,8153,"Dataset metadata: class mappings, counts, imbalance ratios"
dataset_metadata/final_training_imbalance_summary.csv,BYTE_IDENTICAL_COPY,CSE498/LTLC_BLACKBOOK_FINAL/02_dataset_metadata/final_training_imbalance_summary.csv,009e57703cb39acf4ca65798804f1c61a7c0a6e95779a8b19d54d328b6b1c7c3,009e57703cb39acf4ca65798804f1c61a7c0a6e95779a8b19d54d328b6b1c7c3,TRUE,,198,"Dataset metadata: class mappings, counts, imbalance ratios"
dataset_metadata/notebook01_protocol_metadata.json,BYTE_IDENTICAL_COPY,CSE498/LTLC_BLACKBOOK_FINAL/02_dataset_metadata/notebook01_protocol_metadata.json,cdac2c2ef2e3caeae03c4661c28427904a1b3e6385e1db9aff340750b3a25c56,cdac2c2ef2e3caeae03c4661c28427904a1b3e6385e1db9aff340750b3a25c56,TRUE,,7186,"Dataset metadata: class mappings, counts, imbalance ratios"
dataset_metadata/official_imbalance_summary.csv,BYTE_IDENTICAL_COPY,CSE498/LTLC_BLACKBOOK_FINAL/02_dataset_metadata/official_imbalance_summary.csv,e01c258d24f3c1ffbaf13254ed0c951318b353f48a1a3013867a94d81ad6dded,e01c258d24f3c1ffbaf13254ed0c951318b353f48a1a3013867a94d81ad6dded,TRUE,,202,"Dataset metadata: class mappings, counts, imbalance ratios"
