relative_path,method_dir,dataset,dataset_slug,seed,status,manifest_dataset_present,manifest_dataset_raw,manifest_seed_present,manifest_seed_raw,method_manifest,tau,gamma,C,best_AA_epoch,best_AA,best_AA_Macro_F1,best_AA_OA,best_OA_epoch,best_OA,completion_sha256
runs/experiment_b_spatial_validation_v1/balanced_softmax/pingan/seed42/balanced_softmax__pingan__seed42__completion_manifest.json,balanced_softmax,Pingan,pingan,42,COMPLETE,True,Pingan,True,42,BalancedSoftmax,,,,44,0.7655228922598127,0.7117100090941315,0.8909329829172142,74,0.9003942181340342,22278d0ff2803cfd8148447c6e55f86c5ad2163c8b54fa1c215ad86611cc8656
runs/experiment_b_spatial_validation_v1/balanced_softmax/pingan/seed123/balanced_softmax__pingan__seed123__completion_manifest.json,balanced_softmax,Pingan,pingan,123,COMPLETE,True,Pingan,True,123,BalancedSoftmax,,,,86,0.7767391279502535,0.7573047158325535,0.9063220908161775,55,0.9083077821579792,52eacc7abe884dd8de3d17490b995889533ee77813ed78d370f32f15a2627479
runs/experiment_b_spatial_validation_v1/balanced_softmax/pingan/seed3407/balanced_softmax__pingan__seed3407__completion_manifest.json,balanced_softmax,Pingan,pingan,3407,COMPLETE,True,Pingan,True,3407,BalancedSoftmax,,,,5,0.7662587880212436,0.6706604526088755,0.8883340633669149,79,0.8925682581398744,07875dff4926a92ff4bcb1e558c723576545fddb2c6618d999d5fef0647d67ee
runs/experiment_b_spatial_validation_v1/balanced_softmax/qingyun/seed42/balanced_softmax__qingyun__seed42__completion_manifest.json,balanced_softmax,Qingyun,qingyun,42,COMPLETE,True,Qingyun,True,42,BalancedSoftmax,,,,73,0.7493252681314392,0.6616863962323992,0.7486442041915958,73,0.7486442041915958,ad86ea8148a8e3cbfc6d63d37b2f44c80da31a14220ec3a005c9e6f470b768cd
runs/experiment_b_spatial_validation_v1/balanced_softmax/qingyun/seed123/balanced_softmax__qingyun__seed123__completion_manifest.json,balanced_softmax,Qingyun,qingyun,123,COMPLETE,True,Qingyun,True,123,BalancedSoftmax,,,,70,0.7589230924990044,0.693175944097027,0.7230327840173542,65,0.7371680487036842,e0393bdeab8cdf940829c693af19d15ca71847aaadda36c9ca4bc7f46474f784
runs/experiment_b_spatial_validation_v1/balanced_softmax/qingyun/seed3407/balanced_softmax__qingyun__seed3407__completion_manifest.json,balanced_softmax,Qingyun,qingyun,3407,COMPLETE,True,Qingyun,True,3407,BalancedSoftmax,,,,99,0.7516750810073237,0.6860165816404854,0.7087925544942444,14,0.7645288828242539,dbde4aad9d3f9648b1f54f88229b1a80fb6d8e90679cd96dd23f43a50b7dd875
runs/experiment_b_spatial_validation_v1/ce/pingan/seed42/ce__pingan__seed42__completion_manifest.json,ce,Pingan,pingan,42,COMPLETE,False,,False,,,,,,64,0.7568442431073149,0.7227617159459365,0.8968900569426194,45,0.8987297415681121,364fbb50c3ade82852a3dbe00c93533794387f78b641c652fe8efd266733427c
runs/experiment_b_spatial_validation_v1/ce/pingan/seed123/ce__pingan__seed123__completion_manifest.json,ce,Pingan,pingan,123,COMPLETE,False,,False,,,,,,99,0.714285643150948,0.6656642602331048,0.8721565191998832,60,0.8846254927726676,398b907e93b23b06668bc11c294ace8e59a39459626d16288a0986a74a7b5048
runs/experiment_b_spatial_validation_v1/ce/pingan/seed3407/ce__pingan__seed3407__completion_manifest.json,ce,Pingan,pingan,3407,COMPLETE,False,,False,,,,,,27,0.7468555044009366,0.709759580689169,0.8771791502409111,68,0.8934734997809899,c59c28374ebe61edb76c72f0da36cb7b3c201628cea5a4e07c97858bb13ff45f
runs/experiment_b_spatial_validation_v1/ce/qingyun/seed42/ce__qingyun__seed42__completion_manifest.json,ce,Qingyun,qingyun,42,COMPLETE,False,,False,,,,,,37,0.7638322808613521,0.7018945170739306,0.7413316538959449,5,0.772226304188097,74cb8a9a3703e967431261fedc87c63231109cab7aaf021372e7a3b76dc2e8a4
runs/experiment_b_spatial_validation_v1/ce/qingyun/seed123/ce__qingyun__seed123__completion_manifest.json,ce,Qingyun,qingyun,123,COMPLETE,False,,False,,,,,,11,0.7509687982243811,0.6942404324616426,0.7384626150239669,58,0.7472096847556069,b2641cb755aa6ee5ef1214cfe385e83054457c49a791757e9c362a64687b78d1
runs/experiment_b_spatial_validation_v1/ce/qingyun/seed3407/ce__qingyun__seed3407__completion_manifest.json,ce,Qingyun,qingyun,3407,COMPLETE,False,,False,,,,,,35,0.7466855642251226,0.7025845476903304,0.7481193800076974,32,0.7658584374234632,e0ddb4facbdcd66ac2aaf8afca779087172aa0162b2e273a832e473e5f7addf4
runs/experiment_b_spatial_validation_v1/focal/pingan/gamma1/seed42/focal__pingan__gamma1__seed42__completion_manifest.json,focal,Pingan,pingan,42,COMPLETE,False,,False,,,,,,27,0.7377958749491271,0.6576350652576174,0.884421083369835,25,0.8965104394802161,8b5df819ccd806b558883826b6597b5a085a8385645921b9e09fbaa247793b78
runs/experiment_b_spatial_validation_v1/focal/pingan/gamma2/seed42/focal__pingan__gamma2__seed42__completion_manifest.json,focal,Pingan,pingan,42,COMPLETE,False,,False,,,,,,34,0.7132181226968324,0.6906617927710383,0.893327493064681,89,0.8973864797780698,c66c6b4654ef6f9b81b476e9969647f26c8d47b7a2fa36472923b2369582d95b
runs/experiment_b_spatial_validation_v1/focal/pingan/gamma1/seed123/focal__pingan__gamma1__seed123__completion_manifest.json,focal,Pingan,pingan,123,COMPLETE,False,,False,,,,,,51,0.7270803689176524,0.7202822198996277,0.8949043656008177,31,0.8954883924660534,2e6373c800d6a30a4ad9c14fe6101a036d7da0b03a9ade6931dfcb9429d1fe4c
runs/experiment_b_spatial_validation_v1/focal/pingan/gamma1/seed3407/focal__pingan__gamma1__seed3407__completion_manifest.json,focal,Pingan,pingan,3407,COMPLETE,False,,False,,,,,,42,0.7522927006354075,0.7346973841548607,0.8953715870930062,82,0.9010074463425317,c4eac4124d113fe07fe45601cb324eb40eb4c5cef83640db88b51111006b19a9
runs/experiment_b_spatial_validation_v1/focal/qingyun/gamma1/seed42/focal__qingyun__gamma1__seed42__completion_manifest.json,focal,Qingyun,qingyun,42,COMPLETE,False,,False,,,,,,28,0.7649288757394589,0.7068827888621878,0.7465798957349288,12,0.7721913159091705,5d5e97edebcdb89526b2b23273149694c444af647d91747164672adb0ab53f62
runs/experiment_b_spatial_validation_v1/focal/qingyun/gamma2/seed42/focal__qingyun__gamma2__seed42__completion_manifest.json,focal,Qingyun,qingyun,42,COMPLETE,False,,False,,,,,,31,0.7461050493348562,0.6986875655027682,0.7439907630943634,64,0.7532276687309751,eaa50101b6c5508062cf7a924d977a2bd1eb1b70030812c7fed15c19af13b5bd
