dataset,method,candidate_id,candidate_value,seed,val_oa,val_aa,val_macro_f1,best_epoch,selected,completion_sha256
Pingan,Focal,gamma1,1.0,42,0.884421083369835,0.7377958749491271,0.6576350652576174,27,True,8b5df819ccd806b558883826b6597b5a085a8385645921b9e09fbaa247793b78
Pingan,Focal,gamma2,2.0,42,0.893327493064681,0.7132181226968324,0.6906617927710383,34,False,c66c6b4654ef6f9b81b476e9969647f26c8d47b7a2fa36472923b2369582d95b
Pingan,LA-loss,tau0p5,0.5,42,0.887750036501679,0.7022164133431492,0.6924896424354003,82,False,7653c81eb50292af26be51b45da87499ba841e26eb415bf588b94f8c000d0829
Pingan,LA-loss,tau1p0,1.0,42,0.8914878084391882,0.762762195884368,0.7064391980396361,10,True,eef6f96ee4981e8db17ec55725845c03fb8f4c2ddb6760ba4f9ae744d32d8ec7
Pingan,LDAM-DRW,c0p2500,0.25,42,0.8841290699372171,0.7095608888536119,0.6647263773086609,68,False,7d5759cd52a4f50d9618cb54254db1eacb59f52498602f7e9238f3023fc038f8
Pingan,LDAM-DRW,c0p5000,0.5,42,0.8807709154621113,0.7248279619110363,0.7170624928453948,87,True,eeabaff425f8a13792a41f1c5bf58ab90224294f3d11859d2218a5366bc91900
Qingyun,Focal,gamma1,1.0,42,0.7465798957349288,0.7649288757394589,0.7068827888621878,28,True,5d5e97edebcdb89526b2b23273149694c444af647d91747164672adb0ab53f62
Qingyun,Focal,gamma2,2.0,42,0.7439907630943634,0.7461050493348562,0.6986875655027682,31,False,eaa50101b6c5508062cf7a924d977a2bd1eb1b70030812c7fed15c19af13b5bd
Qingyun,LA-loss,tau0p5,0.5,42,0.7439907630943634,0.7641694770676607,0.701987048753128,29,True,1d456420e125909bca2515f2e4d8ac98f715b2967c85a41d0680fbf072d342c2
Qingyun,LA-loss,tau1p0,1.0,42,0.7250970924740212,0.7271598453200842,0.687234842903206,69,False,eb6dc054119b2cf18d597cedd82c546aaf17ce4721ab0c05cf91ff5df3f79f70
Qingyun,LDAM-DRW,c0p2500,0.25,42,0.7333543263006893,0.7552597627609258,0.699377793390575,8,True,067b5e9884c9daad34aeddbfc6e44fba4427c00fc10052d364cc1477724ba9cc
Qingyun,LDAM-DRW,c0p5000,0.5,42,0.7356985409887687,0.7477586766859092,0.6968072138125407,20,False,73b622b22263b17bedca5d78b17130ff5fb749f363b24c22d7df5ecc46577c50
