dataset,seed,method,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL
Pingan,42,Original_LTLC,0.0,0.0,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.0,0.25,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.0,0.5,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.0,0.75,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.0,1.0,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.0,1.5,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.0,2.0,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972
Pingan,42,Original_LTLC,0.25,0.0,,0.7665243488919359,0.7156955348262839,0.8963936341071689,0.8445755550814554,4.202172010951904
Pingan,42,Original_LTLC,0.25,0.25,,0.767346544378831,0.7125824980639387,0.8959848153015039,0.8440208602544106,4.204739414316351
Pingan,42,Original_LTLC,0.25,0.5,,0.769337653563199,0.7090259731315994,0.8954299897795298,0.8432459349293236,4.207795167502365
Pingan,42,Original_LTLC,0.25,0.75,,0.7696342840462618,0.7047532488320671,0.8946999561979851,0.8421993536982326,4.211356397295881
Pingan,42,Original_LTLC,0.25,1.0,,0.7708185906534404,0.6998263871407614,0.8938531172433932,0.8410051244304715,4.2154393702107775
Pingan,42,Original_LTLC,0.25,1.5,,0.76949430753978,0.6901999340103624,0.8921594393342094,0.8385861049972784,4.22523030316537
Pingan,42,Original_LTLC,0.25,2.0,,0.768724330726507,0.6823018269667362,0.890670170827858,0.8364637010285279,4.237273862538059
Pingan,42,Original_LTLC,0.5,0.0,,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816
Pingan,42,Original_LTLC,0.5,0.25,,0.7706664669254991,0.694297157697568,0.8928018688859688,0.8395464867101882,4.218394316894132
Pingan,42,Original_LTLC,0.5,0.5,,0.7696547366482639,0.6855826577315127,0.8912249963498321,0.8372912271830756,4.229521332968096
Pingan,42,Original_LTLC,0.5,0.75,,0.7700495723537529,0.6781873591066646,0.8898233318732661,0.8353050882125069,4.242911248816067
Pingan,42,Original_LTLC,0.5,1.0,,0.7680231148248543,0.6686086206678231,0.8878376405314644,0.8324518709549963,4.258627707962079
Pingan,42,Original_LTLC,0.5,1.5,,0.7642248849635976,0.6532889621825315,0.8843042779967879,0.8273886621504161,4.297146521837211
Pingan,42,Original_LTLC,0.5,2.0,,0.7610771785544213,0.6388735562191309,0.8806833114323259,0.8221991423249251,4.345045669262061
Pingan,42,Original_LTLC,0.75,0.0,,0.7713712759761304,0.6899617128761711,0.892071835304424,0.8385543585333376,4.2223963896406875
Pingan,42,Original_LTLC,0.75,0.25,,0.7706335223946028,0.6773319034409052,0.8895897211271718,0.8350098036638204,4.2419146805474455
Pingan,42,Original_LTLC,0.75,0.5,,0.7670673295567376,0.6636970040421456,0.886640385457731,0.830779506542586,4.266588677959251
Pingan,42,Original_LTLC,0.75,0.75,,0.7644031822479628,0.6524409277530065,0.8839830632209081,0.8269613211985599,4.296509021996925
Pingan,42,Original_LTLC,0.75,1.0,,0.7617315211940286,0.6414271842310184,0.8812381369542999,0.823015356815177,4.331643863633174
Pingan,42,Original_LTLC,0.75,1.5,,0.756275693291502,0.621044832706016,0.8756898817345597,0.8150115513215151,4.416982906213745
Pingan,42,Original_LTLC,0.75,2.0,,0.75126893112271,0.6079774086217543,0.8716600963644328,0.8092115085871023,4.521177732880052
Pingan,42,Original_LTLC,1.0,0.0,,0.7704291693343126,0.6757677137808071,0.889297707694554,0.8346289009125376,4.241171717230738
Pingan,42,Original_LTLC,1.0,0.25,,0.7664949091813085,0.659222600386147,0.885530734413783,0.8292040657469305,4.275501401126961
Pingan,42,Original_LTLC,1.0,0.5,,0.7626462544261909,0.6433346100636508,0.8814425463571324,0.8233227401976655,4.319021274730332
Pingan,42,Original_LTLC,1.0,0.75,,0.7592247752516368,0.6298406792947329,0.8779967878522412,0.8183727157134072,4.371547113814526
Pingan,42,Original_LTLC,1.0,1.0,,0.7549189849003259,0.617913070190417,0.8746386333771353,0.8135223047267356,4.43267576449655
Pingan,42,Original_LTLC,1.0,1.5,,0.7488301671293647,0.6013429213513277,0.8693823915900132,0.8059519901822463,4.579141224059272
Pingan,42,Original_LTLC,1.0,2.0,,0.7363652928135858,0.5835499345337222,0.8632501095050372,0.7970479102152936,4.756022390537863
Pingan,42,Original_LTLC,1.25,0.0,,0.7670605439536894,0.6620659853679335,0.8860271572492334,0.8299323688365147,4.26577172892521
Pingan,42,Original_LTLC,1.25,0.25,,0.7626689933576413,0.6428073413572436,0.8811213315812527,0.8228744184608041,4.318922952494941
Pingan,42,Original_LTLC,1.25,0.5,,0.7577031508271169,0.6250204722420215,0.8762739085997956,0.8158954595769706,4.385939548578432
Pingan,42,Original_LTLC,1.25,0.75,,0.7541535995394474,0.6136573817985773,0.8731785662140459,0.8114519169444661,4.466069742809546
Pingan,42,Original_LTLC,1.25,1.0,,0.7497890776183308,0.6026335741190539,0.8697620090524164,0.8065121514947726,4.558594420069448
Pingan,42,Original_LTLC,1.25,1.5,,0.7346879065891704,0.5801077350075874,0.862169659804351,0.7955078431086504,4.778941223520988
Pingan,42,Original_LTLC,1.25,2.0,,0.7141795447374278,0.5594997113648016,0.854518907869762,0.7844246537202829,5.043337871325113
Pingan,42,Original_LTLC,1.5,0.0,,0.7645711585650932,0.6494617716755797,0.8825521974010805,0.824963151570879,4.296058316378265
Pingan,42,Original_LTLC,1.5,0.25,,0.7586544201128024,0.6276868138967701,0.8768871368082932,0.8168160700217559,4.371602408760692
Pingan,42,Original_LTLC,1.5,0.5,,0.7543236115657141,0.6127027627024515,0.8727989487516425,0.810920615481433,4.466021272918095
Pingan,42,Original_LTLC,1.5,0.75,,0.7487716348650026,0.6000606615246948,0.8689443714410863,0.805344528669947,4.578136832631126
Pingan,42,Original_LTLC,1.5,1.0,,0.7424605580832069,0.5875432639037746,0.8645641699518177,0.7990067977780927,4.7071895948533236
