dataset,seed,method,parameters,tau,alpha,beta,AA,Macro_F1,OA,Kappa,NLL,selection_scope
Pingan,42,CE,none,,,,0.7568442431073149,0.7227617159459365,0.8968900569426194,0.8450978631229918,4.200384947317972,fixed
Pingan,123,CE,none,,,,0.714285643150948,0.6656642602331048,0.8721565191998832,0.8087703647750782,4.202230391562376,fixed
Pingan,3407,CE,none,,,,0.7468555044009366,0.709759580689169,0.8771791502409111,0.816637213832523,2.569313179365171,fixed
Pingan,42,Original_LTLC,"tau=0.5,alpha=0",0.5,0.0,,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816,independent_validation_per_seed
Pingan,123,Original_LTLC,"tau=2,alpha=0.75",2.0,0.75,,0.734570960947661,0.5695422592360213,0.8487370419039276,0.7776113161805358,4.915112802288567,independent_validation_per_seed
Pingan,3407,Original_LTLC,"tau=1,alpha=0",1.0,0.0,,0.7617323955403175,0.6838061401992795,0.8736165863629727,0.8119699588777073,2.6135057635136985,independent_validation_per_seed
Pingan,42,R1,"tau=0.5,beta=0",0.5,,0.0,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816,seed42_pair_frozen_to_robustness_seeds
Pingan,123,R1,"tau=0.5,beta=0",0.5,,0.0,0.7223193254834612,0.645063024388847,0.86982041173894,0.8060957728169459,4.221760469147993,seed42_pair_frozen_to_robustness_seeds
Pingan,3407,R1,"tau=0.5,beta=0",0.5,,0.0,0.7567965215585681,0.7015563201199532,0.8760987005402249,0.8153472528517398,2.584674096608585,seed42_pair_frozen_to_robustness_seeds
Pingan,42,Standard_LA,tau=0.5,0.5,,,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816,independent_validation_per_seed
Pingan,123,Standard_LA,tau=1.75,1.75,,,0.7312960648331465,0.5928630391392733,0.8604467805519054,0.7937754758604837,4.377041926056227,independent_validation_per_seed
Pingan,3407,Standard_LA,tau=1,1.0,,,0.7617323955403175,0.6838061401992795,0.8736165863629727,0.8119699588777073,2.6135057635136985,independent_validation_per_seed
Pingan,42,Standard_LA_FrozenForR1,tau=0.5,0.5,,,0.7715545263953009,0.7040995354528006,0.8946707548547234,0.8422382910781897,4.209437513772816,seed42_tau_frozen_to_robustness_seeds
Pingan,123,Standard_LA_FrozenForR1,tau=0.5,0.5,,,0.7223193254834612,0.645063024388847,0.86982041173894,0.8060957728169459,4.221760469147993,seed42_tau_frozen_to_robustness_seeds
Pingan,3407,Standard_LA_FrozenForR1,tau=0.5,0.5,,,0.7567965215585681,0.7015563201199532,0.8760987005402249,0.8153472528517398,2.584674096608585,seed42_tau_frozen_to_robustness_seeds
Qingyun,42,CE,none,,,,0.7638322808613521,0.7018945170739306,0.7413316538959449,0.6631432331355005,5.748202758366621,fixed
Qingyun,123,CE,none,,,,0.7509687982243811,0.6942404324616426,0.7384626150239669,0.6578576191554503,2.681491778716439,fixed
Qingyun,3407,CE,none,,,,0.7466855642251226,0.7025845476903304,0.7481193800076974,0.6725395154048849,5.22120464729285,fixed
Qingyun,42,Original_LTLC,"tau=2,alpha=0",2.0,0.0,,0.7710385189910326,0.6517651272921812,0.7209334872817607,0.6424951398533979,6.2225330538326435,independent_validation_per_seed
Qingyun,123,Original_LTLC,"tau=0.25,alpha=0.5",0.25,0.5,,0.75145813742015,0.6791900843176483,0.7346139043420454,0.654097817510316,2.7385884494796917,independent_validation_per_seed
Qingyun,3407,Original_LTLC,"tau=0,alpha=0",0.0,0.0,,0.7466855642251226,0.7025845476903304,0.7481193800076974,0.6725395154048849,5.22120464729285,independent_validation_per_seed
Qingyun,42,R1,"tau=2,beta=0",2.0,,0.0,0.7710385189910326,0.6517651272921812,0.7209334872817607,0.6424951398533979,6.2225330538326435,seed42_pair_frozen_to_robustness_seeds
Qingyun,123,R1,"tau=2,beta=0",2.0,,0.0,0.7220269327337127,0.5552240982838884,0.6665267135509604,0.5841219910649684,3.3678297797593992,seed42_pair_frozen_to_robustness_seeds
Qingyun,3407,R1,"tau=2,beta=0",2.0,,0.0,0.7348261982066955,0.6304017188361298,0.7060284804590462,0.6289598409149553,5.832955211261238,seed42_pair_frozen_to_robustness_seeds
Qingyun,42,Standard_LA,tau=2,2.0,,,0.7710385189910326,0.6517651272921812,0.7209334872817607,0.6424951398533979,6.2225330538326435,independent_validation_per_seed
Qingyun,123,Standard_LA,tau=0.5,0.5,,,0.7513237657458404,0.6754789355310766,0.7326195724432315,0.6521032270000986,2.76604905445839,independent_validation_per_seed
Qingyun,3407,Standard_LA,tau=0,0.0,,,0.7466855642251226,0.7025845476903304,0.7481193800076974,0.6725395154048849,5.22120464729285,independent_validation_per_seed
Qingyun,42,Standard_LA_FrozenForR1,tau=2,2.0,,,0.7710385189910326,0.6517651272921812,0.7209334872817607,0.6424951398533979,6.2225330538326435,seed42_tau_frozen_to_robustness_seeds
Qingyun,123,Standard_LA_FrozenForR1,tau=2,2.0,,,0.7220269327337127,0.5552240982838884,0.6665267135509604,0.5841219910649684,3.3678297797593992,seed42_tau_frozen_to_robustness_seeds
Qingyun,3407,Standard_LA_FrozenForR1,tau=2,2.0,,,0.7348261982066955,0.6304017188361298,0.7060284804590462,0.6289598409149553,5.832955211261238,seed42_tau_frozen_to_robustness_seeds
