dataset,class_id,train_count,rarity,ce_accuracy_mean,ce_error_mean,la_minus_ce_mean,adaptive_alpha_gain_mean
Pingan,1,3322,0.38752995491077596,0.7392290249433108,0.26077097505668934,-0.026303854875283455,-0.02312925170068029
Pingan,2,33783,0.0,0.9948457573659512,0.005154242634048807,-0.00309639203015614,-0.0011923994153396251
Pingan,3,219,0.841869555493345,0.804780876494024,0.19521912350597612,0.10624169986719785,0.022576361221779567
Pingan,4,6229,0.2824936457792257,0.13657927590511862,0.8634207240948815,-0.028339575530586757,-0.0011235955056179776
Pingan,5,85,1.0,0.742765273311897,0.25723472668810293,0.047159699892818874,0.015005359056806
Pingan,6,683,0.6518258802249127,0.9488993710691824,0.051100628930817606,0.011792452830188704,-0.004716981132075489
Pingan,7,110,0.9569212281329799,0.7674603174603174,0.23253968253968252,0.04126984126984127,0.007936507936507945
Pingan,8,4485,0.3373765066481129,0.8057669203043653,0.19423307969563475,-0.02282739287144579,-0.02149245761580561
Pingan,9,440,0.7252954870175873,0.49180327868852464,0.5081967213114754,0.03688524590163933,0.023224043715847003
Pingan,10,16354,0.12121599294619616,0.9611545399879735,0.038845460012026455,-0.007456404088995801,-0.003166967328121865
Qingyun,1,19556,0.0,0.7555178953314772,0.2444821046685228,-0.010248960981317853,-0.0005649033611749843
Qingyun,2,11807,0.09047733051002957,0.8643605480131424,0.1356394519868576,-0.013638336122993033,-0.00030996218461346964
Qingyun,3,967,0.5391525634445293,0.5520581113801453,0.44794188861985473,0.05165456012913642,0.003228410008071022
Qingyun,4,74,1.0,0.9977246871444824,0.0022753128555176305,0.0022753128555176305,0.0
Qingyun,5,15220,0.0449476485497715,0.5150544196928085,0.48494558030719154,-0.0005594547858814117,-0.00010171905197842168
Qingyun,6,15555,0.04104377802184803,0.8382576250596555,0.16174237494034446,-0.014360709792181922,-0.0006074016226300291
