dataset,seed,class_id,train_count,rarity,ce_accuracy,ce_error,selected_la_accuracy,la_minus_ce,ltlc_tau,ltlc_alpha,same_tau_la_accuracy,ltlc_accuracy,adaptive_alpha_gain
Pingan,42,1,3322,0.38752995491077596,0.6619047619047619,0.3380952380952381,0.6401360544217687,-0.0217687074829932,0.5,0.0,0.6401360544217687,0.6401360544217687,0.0
Pingan,42,2,33783,0.0,0.9965958919916916,0.003404108008308371,0.9963651050080775,-0.00023078698361411742,0.5,0.0,0.9963651050080775,0.9963651050080775,0.0
Pingan,42,3,219,0.841869555493345,0.8087649402390438,0.19123505976095623,0.9362549800796812,0.12749003984063745,0.5,0.0,0.9362549800796812,0.9362549800796812,0.0
Pingan,42,4,6229,0.2824936457792257,0.25205992509363295,0.747940074906367,0.24157303370786518,-0.010486891385767777,0.5,0.0,0.24157303370786518,0.24157303370786518,0.0
Pingan,42,5,85,1.0,0.8247588424437299,0.17524115755627012,0.8536977491961415,0.02893890675241162,0.5,0.0,0.8536977491961415,0.8536977491961415,0.0
Pingan,42,6,683,0.6518258802249127,0.9882075471698113,0.011792452830188704,0.9834905660377359,-0.004716981132075415,0.5,0.0,0.9834905660377359,0.9834905660377359,0.0
Pingan,42,7,110,0.9569212281329799,0.7571428571428571,0.24285714285714288,0.7666666666666667,0.009523809523809601,0.5,0.0,0.7666666666666667,0.7666666666666667,0.0
Pingan,42,8,4485,0.3373765066481129,0.8313976772126552,0.16860232278734477,0.8117741289547457,-0.019623548257909573,0.5,0.0,0.8117741289547457,0.8117741289547457,0.0
Pingan,42,9,440,0.7252954870175873,0.4672131147540984,0.5327868852459017,0.5081967213114754,0.04098360655737704,0.5,0.0,0.5081967213114754,0.5081967213114754,0.0
Pingan,42,10,16354,0.12121599294619616,0.9803968731208659,0.019603126879134125,0.9773902585688514,-0.0030066145520144527,0.5,0.0,0.9773902585688514,0.9773902585688514,0.0
Pingan,123,1,3322,0.38752995491077596,0.7979591836734694,0.2020408163265306,0.7673469387755102,-0.030612244897959218,2.0,0.75,0.7612244897959184,0.6918367346938775,-0.06938775510204087
Pingan,123,2,33783,0.0,0.9898453727209785,0.0101546272790215,0.9822294022617124,-0.007615970459266097,2.0,0.75,0.9815947380567736,0.9780175398107547,-0.0035771982460188756
Pingan,123,3,219,0.841869555493345,0.7450199203187251,0.2549800796812749,0.8764940239043825,0.13147410358565736,2.0,0.75,0.8764940239043825,0.9442231075697212,0.0677290836653387
Pingan,123,4,6229,0.2824936457792257,0.0550561797752809,0.9449438202247191,0.0048689138576779025,-0.050187265917602995,2.0,0.75,0.0033707865168539327,0.0,-0.0033707865168539327
Pingan,123,5,85,1.0,0.6688102893890675,0.3311897106109325,0.747588424437299,0.0787781350482315,2.0,0.75,0.7540192926045016,0.7990353697749196,0.045016077170418
Pingan,123,6,683,0.6518258802249127,0.9433962264150944,0.05660377358490565,0.964622641509434,0.021226415094339646,2.0,0.75,0.964622641509434,0.9504716981132075,-0.014150943396226467
Pingan,123,7,110,0.9569212281329799,0.7738095238095238,0.22619047619047616,0.8166666666666667,0.042857142857142816,2.0,0.75,0.8214285714285714,0.8452380952380952,0.023809523809523836
Pingan,123,8,4485,0.3373765066481129,0.750500600720865,0.249499399279135,0.7052462955546656,-0.04525430516619944,2.0,0.75,0.7000400480576692,0.6355626752102523,-0.06447737284741684
Pingan,123,9,440,0.7252954870175873,0.44672131147540983,0.5532786885245902,0.48770491803278687,0.04098360655737704,2.0,0.75,0.48360655737704916,0.5532786885245902,0.069672131147541
Pingan,123,10,16354,0.12121599294619616,0.9717378232110644,0.02826217678893561,0.9601924233313289,-0.011545399879735463,2.0,0.75,0.9575466025255562,0.9480457005411906,-0.009500901984365595
Pingan,3407,1,3322,0.38752995491077596,0.7578231292517007,0.2421768707482993,0.7312925170068028,-0.026530612244897944,1.0,0.0,0.7312925170068028,0.7312925170068028,0.0
Pingan,3407,2,33783,0.0,0.9980960073851834,0.001903992614816552,0.9966535887375952,-0.0014424186475882061,1.0,0.0,0.9966535887375952,0.9966535887375952,0.0
Pingan,3407,3,219,0.841869555493345,0.8605577689243028,0.1394422310756972,0.9203187250996016,0.05976095617529875,1.0,0.0,0.9203187250996016,0.9203187250996016,0.0
Pingan,3407,4,6229,0.2824936457792257,0.10262172284644194,0.8973782771535581,0.07827715355805244,-0.024344569288389503,1.0,0.0,0.07827715355805244,0.07827715355805244,0.0
Pingan,3407,5,85,1.0,0.7347266881028939,0.2652733118971061,0.7684887459807074,0.0337620578778135,1.0,0.0,0.7684887459807074,0.7684887459807074,0.0
Pingan,3407,6,683,0.6518258802249127,0.9150943396226415,0.08490566037735847,0.9339622641509434,0.018867924528301883,1.0,0.0,0.9339622641509434,0.9339622641509434,0.0
Pingan,3407,7,110,0.9569212281329799,0.7714285714285715,0.22857142857142854,0.8428571428571429,0.0714285714285714,1.0,0.0,0.8428571428571429,0.8428571428571429,0.0
Pingan,3407,8,4485,0.3373765066481129,0.8354024829795755,0.16459751702042447,0.8317981577893472,-0.0036043251902283524,1.0,0.0,0.8317981577893472,0.8317981577893472,0.0
Pingan,3407,9,440,0.7252954870175873,0.5614754098360656,0.4385245901639344,0.5901639344262295,0.02868852459016391,1.0,0.0,0.5901639344262295,0.5901639344262295,0.0
Pingan,3407,10,16354,0.12121599294619616,0.9313289236319904,0.06867107636800962,0.9235117257967529,-0.007817197835237488,1.0,0.0,0.9235117257967529,0.9235117257967529,0.0
Qingyun,42,1,19556,0.0,0.7248517128676916,0.27514828713230843,0.7030625832223701,-0.021789129645321426,2.0,0.0,0.7030625832223701,0.7030625832223701,0.0
Qingyun,42,2,11807,0.09047733051002957,0.8714896782592524,0.1285103217407476,0.8365259438348521,-0.03496373442440026,2.0,0.0,0.8365259438348521,0.8365259438348521,0.0
Qingyun,42,3,967,0.5391525634445293,0.6198547215496368,0.38014527845036317,0.7481840193704601,0.12832929782082325,2.0,0.0,0.7481840193704601,0.7481840193704601,0.0
Qingyun,42,4,74,1.0,0.9931740614334471,0.0068259385665528916,1.0,0.0068259385665528916,2.0,0.0,1.0,1.0,0.0
