dataset,rank,method,comparison_object,config,AA_mean,AA_sd,MacroF1_mean,MacroF1_sd,OA_mean,OA_sd,Kappa_mean,Kappa_sd,delta_AA_vs_CE
Pingan,1,Balanced Softmax,TRAINED Experiment-B model; spatially disjoint validation,training_counts,0.7695,0.0063,0.7132,0.0433,0.8952,0.0097,0.8437,0.0139,0.0302
Pingan,2,LA-loss,TRAINED Experiment-B model; spatially disjoint validation,tau=1,0.7617,0.0136,0.6982,0.0221,0.8862,0.0094,0.8306,0.0135,0.0224
Pingan,3,CE,TRAINED Experiment-B model; spatially disjoint validation,CrossEntropy,0.7393,0.0223,0.6994,0.0299,0.8821,0.0131,0.8235,0.0191,0.0
Pingan,4,Focal,TRAINED Experiment-B model; spatially disjoint validation,gamma=1,0.7391,0.0127,0.7042,0.041,0.8916,0.0062,0.8378,0.0088,-0.0003
Pingan,5,LDAM-DRW,TRAINED Experiment-B model; spatially disjoint validation,C=0.5,0.7044,0.026,0.7044,0.0265,0.8849,0.0071,0.8274,0.0104,-0.035
Qingyun,1,LA-loss,TRAINED Experiment-B model; spatially disjoint validation,tau=0.5,0.7595,0.0076,0.7068,0.0082,0.7508,0.0085,0.6773,0.0104,0.0057
Qingyun,2,CE,TRAINED Experiment-B model; spatially disjoint validation,CrossEntropy,0.7538,0.0089,0.6996,0.0046,0.7426,0.005,0.6645,0.0074,0.0
Qingyun,3,Focal,TRAINED Experiment-B model; spatially disjoint validation,gamma=1,0.7536,0.016,0.7042,0.0124,0.7523,0.0062,0.6774,0.0069,-0.0002
Qingyun,4,Balanced Softmax,TRAINED Experiment-B model; spatially disjoint validation,training_counts,0.7533,0.005,0.6803,0.0165,0.7268,0.0202,0.6497,0.0245,-0.0005
Qingyun,5,LDAM-DRW,TRAINED Experiment-B model; spatially disjoint validation,C=0.25,0.7486,0.0058,0.7026,0.0028,0.7425,0.0079,0.6632,0.0091,-0.0052
