dataset,class_id,expB_post_guard_train_count,rarity_from_expB_post_guard_count,ce_accuracy_mean,ce_error_mean,posthoc_standard_LA_minus_CE_mean,adaptive_alpha_gain_mean
Pingan,1,3322,0.3875,0.7392,0.2608,-0.0263,-0.0231
Pingan,2,33783,0.0,0.9948,0.0052,-0.0031,-0.0012
Pingan,3,219,0.8419,0.8048,0.1952,0.1062,0.0226
Pingan,4,6229,0.2825,0.1366,0.8634,-0.0283,-0.0011
Pingan,5,85,1.0,0.7428,0.2572,0.0472,0.015
Pingan,6,683,0.6518,0.9489,0.0511,0.0118,-0.0047
Pingan,7,110,0.9569,0.7675,0.2325,0.0413,0.0079
Pingan,8,4485,0.3374,0.8058,0.1942,-0.0228,-0.0215
Pingan,9,440,0.7253,0.4918,0.5082,0.0369,0.0232
Pingan,10,16354,0.1212,0.9612,0.0388,-0.0075,-0.0032
Qingyun,1,19556,0.0,0.7555,0.2445,-0.0102,-0.0006
Qingyun,2,11807,0.0905,0.8644,0.1356,-0.0136,-0.0003
Qingyun,3,967,0.5392,0.5521,0.4479,0.0517,0.0032
Qingyun,4,74,1.0,0.9977,0.0023,0.0023,0.0
Qingyun,5,15220,0.0449,0.5151,0.4849,-0.0006,-0.0001
Qingyun,6,15555,0.041,0.8383,0.1617,-0.0144,-0.0006
